"species","latitude","longitude","date","source","temp","precip","day","month","year","elevation","NDVI","LC"
"20","Cardamine pratensis",47.5514945984,7.6063866615,"2022-05-08 15:47:16 +0200","inat",9.9,781,8,5,2022,266.783414461802,4711.52911951772,"Urban_and_Built_up_Lands"
"21","Cardamine pratensis",46.9916277,6.8413698,"2022-05-08 15:08:00 +0200","inat",8.8,935,8,5,2022,785.459057182429,7601.34456250339,"Water_Bodies"
"22","Cardamine pratensis",47.3634738615,7.686122898,"2022-05-08 10:32:00 +0200","inat",8.2,1040,8,5,2022,921.985595588491,8069.53008484607,"Water_Bodies"
"23","Cardamine pratensis",47.0730333333,6.7037333333,"2022-05-07 16:24:00 +0200","inat",6.1,1327,7,5,2022,843.188007979584,7541.84901141915,NA
"24","Cardamine pratensis",47.2070431411,7.2132573277,"2022-05-07 16:54:07 +0200","inat",6.8,1179,7,5,2022,1059.10683088743,8469.28888369009,"Permanent_Snow_and_Ice"
"25","Cardamine pratensis",46.9140694444,6.7490416667,"2022-05-07 10:11:00 +0200","inat",7.2,1171,7,5,2022,947.216027548612,8249.41161641909,"Permanent_Snow_and_Ice"
"26","Cardamine pratensis",46.4429716667,6.1605805,"2022-04-30 10:50:23 +0200","inat",6.4,1370,30,4,2022,1046.51278230248,8218.37507860559,"Permanent_Snow_and_Ice"
"27","Cardamine pratensis",47.0340746381,8.4697626694,"2022-05-04 18:38:44 +0200","inat",8.8,1170,4,5,2022,1046.97917365477,7999.89925049446,"Permanent_Snow_and_Ice"
"28","Cardamine pratensis",46.781945,9.2442466667,"2022-05-02 08:13:00 +0200","inat",4.6,1370,2,5,2022,787.562423929805,6967.35946941448,"Permanent_Snow_and_Ice"
"29","Cardamine pratensis",47.4415157801,9.2929957501,"2022-04-28 05:11:00 +0200","inat",8,1138,28,4,2022,798.375326694793,8090.70737175151,"Water_Bodies"
"30","Cardamine pratensis",47.4679683333,9.0494683333,"2022-05-01 16:19:57 +0200","inat",8.3,1126,1,5,2022,596.866702485669,5805.99856312733,"Urban_and_Built_up_Lands"
"31","Cardamine pratensis",47.467917009,9.0494574278,"2022-05-01 16:19:50 +0200","inat",8.3,1126,1,5,2022,596.626293367551,5801.60590269495,"Urban_and_Built_up_Lands"
"32","Cardamine pratensis",47.0169741978,6.8216529954,"2022-05-01 15:13:21 +0200","inat",6.1,1327,1,5,2022,1300.67312086774,8210.45883015632,"Water_Bodies"
"33","Cardamine pratensis",47.34828232,8.79759536,"2022-05-01 15:21:43 +0200","inat",8.7,1114,1,5,2022,545.553475586455,6976.49014869405,"Water_Bodies"
"34","Cardamine pratensis",47.0160530904,6.8233628283,"2022-05-01 14:36:25 +0200","inat",6.1,1327,1,5,2022,1284.40939855608,8183.43709149957,"Permanent_Snow_and_Ice"
"35","Cardamine pratensis",47.01477661,6.82315494,"2022-05-01 14:24:39 +0200","inat",6.1,1327,1,5,2022,1272.50396252761,8173.44684933839,"Permanent_Snow_and_Ice"
"36","Cardamine pratensis",46.6484916667,7.7363833333,"2022-04-29 09:32:50 +0200","inat",3.3,1530,29,4,2022,939.943611069182,8202.61419074163,"Water_Bodies"
"37","Cardamine pratensis",47.0295770289,8.308764691,"2022-04-27 13:57:00 +0200","inat",8.6,1158,27,4,2022,473.778396211986,7408.50153172211,"Permanent_Snow_and_Ice"
"38","Cardamine pratensis",46.9492583333,9.0282083333,"2022-04-27 12:52:28 +0200","inat",2.5,1626,27,4,2022,768.400633465408,7621.41408100672,"Water_Bodies"
"39","Cardamine pratensis",46.5846671218,6.6423994381,"2022-04-24 16:45:48 +0200","inat",8.9,983,24,4,2022,721.129279791384,7058.00465067966,"Water_Bodies"
"40","Cardamine pratensis",47.1053461963,6.8442131113,"2022-04-23 19:58:12 +0200","inat",6.3,1265,23,4,2022,1032.07770450954,6415.71718660336,"Water_Bodies"
"41","Cardamine pratensis",46.6509425056,7.0814358208,"2022-04-23 17:03:38 +0200","inat",6,1205,23,4,2022,714.794030625701,7174.86665696927,"Urban_and_Built_up_Lands"
"42","Cardamine pratensis",47.499678,8.67934394,"2022-04-23 09:52:06 +0200","inat",8.7,1114,23,4,2022,486.265643669922,7426.12809678615,"Water_Bodies"
"43","Cardamine pratensis",47.63730274,9.10216314,"2022-04-14 04:57:00 +0200","inat",9,1019,14,4,2022,580.155516290177,8242.49997028693,"Water_Bodies"
"44","Cardamine pratensis",47.4804818129,7.6628328636,"2022-04-22 12:47:54 +0200","inat",8.3,998,22,4,2022,689.319213964082,8184.44308257668,"Permanent_Snow_and_Ice"
"45","Cardamine pratensis",46.4801530298,7.1382589445,"2022-04-10 14:57:00 +0200","inat",4.5,1386,10,4,2022,1070.29080455122,6509.67058234177,"Urban_and_Built_up_Lands"
"46","Cardamine pratensis",47.4035682678,7.2123889923,"2022-04-20 18:54:48 +0200","inat",8.2,1007,20,4,2022,666.759149201186,8244.57502676443,"Permanent_Snow_and_Ice"
"47","Cardamine pratensis",47.6843986511,8.5722513199,"2022-04-20 13:37:16 +0200","inat",8,1055,20,4,2022,489.936966782351,7465.61353086349,"Permanent_Snow_and_Ice"
"48","Cardamine pratensis",46.6139533997,6.7537577997,"2022-04-19 12:09:01 +0200","inat",7.8,1042,19,4,2022,744.057595598607,7399.83650813664,"Urban_and_Built_up_Lands"
"49","Cardamine pratensis",46.4191666667,6.9211111111,"2022-04-17 16:32:57 +0200","inat",7.4,1072,17,4,2022,392.962061264211,5553.66454531514,"Urban_and_Built_up_Lands"
"50","Cardamine pratensis",47.5515480042,7.6063194275,"2022-04-19 19:59:55 +0300","inat",9.9,781,19,4,2022,266.761306447136,4710.49144390601,"Urban_and_Built_up_Lands"
"51","Cardamine pratensis",47.1260927059,6.930114124,"2022-04-19 14:28:00 +0200","inat",6.3,1265,19,4,2022,973.303499792304,7471.38065722903,"Water_Bodies"
"52","Cardamine pratensis",47.2106777778,8.6727638889,"2022-04-18 14:52:00 -0800","inat",8.9,1141,18,4,2022,582.573850765696,6956.52538990954,"Water_Bodies"
"53","Cardamine pratensis",46.6929473877,6.4625287056,"2022-04-18 16:00:24 +0300","inat",6.4,1333,18,4,2022,728.187961643667,8039.93404964729,"Water_Bodies"
"54","Cardamine pratensis",47.4699940391,7.5565767288,"2022-04-18 14:37:03 +0200","inat",8.3,998,18,4,2022,462.74491315613,7998.90640521727,"Permanent_Snow_and_Ice"
"55","Cardamine pratensis",46.2071135853,6.1682981998,"2022-04-16 17:02:11 +0200","inat",9.9,956,16,4,2022,398.224068309618,5578.54951066442,"Permanent_Snow_and_Ice"
"56","Cardamine pratensis",46.2380555556,6.1497222222,"2022-04-15 08:28:45 -1000","inat",9.8,987,15,4,2022,392.102373275155,6482.74267048953,"Urban_and_Built_up_Lands"
"57","Cardamine pratensis",47.23507,8.9165183333,"2022-04-16 19:17:18 +0200","inat",8.5,1168,16,4,2022,465.053782990402,6993.31026857328,"Water_Bodies"
"58","Cardamine pratensis",46.6329154968,8.0135192871,"2022-04-15 17:41:27 +0300","inat",-2.6,2121,15,4,2022,1142.07561866967,7899.7446161916,"Water_Bodies"
"59","Cardamine pratensis",47.1674333333,9.4720216667,"2022-04-15 12:50:06 +0300","inat",5.9,1281,15,4,2022,458.39652437541,5732.80463170779,"Permanent_Snow_and_Ice"
"60","Cardamine pratensis",46.3025944385,6.163482711,"2022-04-14 11:44:09 +0300","inat",9.8,987,14,4,2022,415.346452462997,7049.79489342383,"Water_Bodies"
"61","Cardamine pratensis",46.1912149796,6.172320026,"2022-04-14 10:03:05 +0300","inat",9.9,956,14,4,2022,420.972355377601,6639.23422631578,"Urban_and_Built_up_Lands"
"62","Cardamine pratensis",46.8019616667,6.8949666667,"2022-04-13 18:36:45 +0300","inat",8.1,988,13,4,2022,510.567135851276,7044.54655461977,"Water_Bodies"
"63","Cardamine pratensis",47.3620221871,8.4542179759,"2022-04-13 14:18:00 +0200","inat",8.8,1103,13,4,2022,555.175637645596,7116.94770980298,"Permanent_Snow_and_Ice"
"64","Cardamine pratensis",46.43325,6.9389033333,"2022-04-12 12:35:00 +0300","inat",7.4,1072,12,4,2022,884.907986652141,8457.48621552761,"Permanent_Snow_and_Ice"
"65","Cardamine pratensis",47.0298256841,8.3072197563,"2022-04-11 14:49:00 +0200","inat",8.6,1158,11,4,2022,470.438704725943,7170.99281680488,"Permanent_Snow_and_Ice"
"66","Cardamine pratensis",47.4803569997,8.760742,"2022-04-12 14:53:21 +0200","inat",8.7,1114,12,4,2022,475.128085664411,6591.07369840555,"Permanent_Snow_and_Ice"
"67","Cardamine pratensis",47.3934860229,7.0554857254,"2022-04-12 14:52:04 +0300","inat",8.6,992,12,4,2022,499.910843885535,7189.60291272343,"Urban_and_Built_up_Lands"
"68","Cardamine pratensis",47.5196719722,8.0232869722,"2022-04-12 13:48:42 +0200","inat",8.7,1049,12,4,2022,393.381130478168,6538.70076851171,"Water_Bodies"
"69","Cardamine pratensis",46.2894352163,6.1635002455,"2022-04-12 08:39:46 +0200","inat",9.8,987,12,4,2022,399.771199291375,6308.25781787587,"Permanent_Snow_and_Ice"
"70","Cardamine pratensis",46.5533772,6.53418847,"2022-04-10 15:22:00 +0200","inat",8.9,983,10,4,2022,435.103837392558,6945.68415240539,"Permanent_Snow_and_Ice"
"71","Cardamine pratensis",47.4680966667,9.0502983333,"2022-04-11 19:16:09 +0200","inat",8.3,1126,11,4,2022,598.210546472645,5841.19957811171,"Urban_and_Built_up_Lands"
"72","Cardamine pratensis",46.2140873339,6.1386806387,"2022-04-11 19:29:25 +0300","inat",9.8,987,11,4,2022,405.53525358524,4022.11826535012,"Urban_and_Built_up_Lands"
"73","Cardamine pratensis",47.431545,9.1343888333,"2022-04-11 13:59:06 +0200","inat",8.3,1126,11,4,2022,582.110582962676,6541.0775438113,"Water_Bodies"
"74","Cardamine pratensis",47.0622914611,7.315631127,"2022-04-10 18:18:20 +0300","inat",8.7,944,10,4,2022,486.444537817214,7377.95387330524,"Permanent_Snow_and_Ice"
"75","Cardamine pratensis",47.5546593533,8.0474106646,"2022-04-10 18:48:50 +0300","inat",8.7,1049,10,4,2022,319.114593569858,6056.0574882175,"Permanent_Snow_and_Ice"
"76","Cardamine pratensis",47.672305,9.0589666667,"2022-04-10 15:24:00 +0300","inat",9.3,941,10,4,2022,NA,NA,NA
"77","Cardamine pratensis",47.4641571044,8.6416730881,"2022-04-10 11:50:09 +0200","inat",8.9,1101,10,4,2022,565.873613530423,7087.19582729161,"Urban_and_Built_up_Lands"
"78","Cardamine pratensis",47.4057825246,8.6021856359,"2022-04-07 18:00:29 +0300","inat",8.9,1101,7,4,2022,429.442668201331,5425.72353325963,"Urban_and_Built_up_Lands"
"79","Cardamine pratensis",47.6357783333,9.078715,"2022-04-09 12:50:45 +0200","inat",9,1019,9,4,2022,592.950787858512,7539.7807244587,"Urban_and_Built_up_Lands"
"80","Cardamine pratensis",47.558445,8.91817,"2022-04-08 13:31:57 +0300","inat",9.1,1020,8,4,2022,467.584961928902,7106.80156329307,"Permanent_Snow_and_Ice"
"81","Cardamine pratensis",46.824125286,6.6811617091,"2022-04-04 00:00:00 +0000","inat",8.3,1011,4,4,2022,426.840284558451,6026.59451455611,"Water_Bodies"
"82","Cardamine pratensis",47.0546756532,8.3076213429,"2022-04-08 10:33:41 +0300","inat",8.6,1158,8,4,2022,456.352283273299,4766.63361340661,"Urban_and_Built_up_Lands"
"83","Cardamine pratensis",46.8229034003,8.3994550988,"2022-04-06 12:52:52 +0300","inat",0.2,1895,6,4,2022,1166.59897252131,7218.73230799521,"Urban_and_Built_up_Lands"
"84","Cardamine pratensis",47.0304545904,8.3074343351,"2022-04-06 13:49:00 +0200","inat",8.6,1158,6,4,2022,470.345639780206,7061.47506163201,"Permanent_Snow_and_Ice"
"85","Cardamine pratensis",47.0306008455,8.308228265,"2022-04-06 13:28:00 +0200","inat",8.6,1158,6,4,2022,471.606365849302,7126.1305489407,"Permanent_Snow_and_Ice"
"86","Cardamine pratensis",47.2397862997,8.4771800997,"2022-04-06 19:36:52 +0200","inat",9,1122,6,4,2022,525.640673411593,7032.52020697082,"Water_Bodies"
"87","Cardamine pratensis",46.5145128058,6.6233497574,"2022-04-06 16:50:00 +0300","inat",8.9,983,6,4,2022,429.421850427069,4510.64934730766,"Urban_and_Built_up_Lands"
"88","Cardamine pratensis",46.78438,6.666685,"2022-04-06 13:01:00 +0200","inat",8.3,1011,6,4,2022,461.633443400375,6526.79819830802,"Water_Bodies"
"89","Cardamine pratensis",47.484549468,8.7809949824,"2022-04-06 19:11:38 +0300","inat",8.7,1114,6,4,2022,549.956072965003,7632.88781949542,"Permanent_Snow_and_Ice"
"90","Cardamine pratensis",47.1732673645,8.9275369644,"2022-04-06 16:31:00 +0300","inat",8.5,1168,6,4,2022,518.388878499318,7491.07974051527,"Water_Bodies"
"91","Cardamine pratensis",47.5963401794,7.6466722488,"2022-04-06 15:25:44 +0300","inat",9.9,781,6,4,2022,NA,NA,NA
"92","Cardamine pratensis",46.8466383333,6.6288883333,"2022-04-02 14:21:17 +0300","inat",5.9,1364,2,4,2022,789.380037110119,7466.33331462329,"Water_Bodies"
"93","Cardamine pratensis",47.3938604422,8.0354583263,"2022-04-06 09:10:31 +0200","inat",8.9,1040,6,4,2022,403.590790100853,6765.89920206618,"Permanent_Snow_and_Ice"
"94","Cardamine pratensis",47.5100351,7.6501761,"2022-04-04 17:43:39 +0200","inat",9.9,781,4,4,2022,432.059750282702,7874.84029529268,"Permanent_Snow_and_Ice"
"95","Cardamine pratensis",47.5494270325,7.618311882,"2022-04-04 18:01:14 +0300","inat",9.9,781,4,4,2022,262.000157361791,5063.88557734813,"Urban_and_Built_up_Lands"
"96","Cardamine pratensis",46.5138285605,6.5489921223,"2022-04-04 17:50:23 +0300","inat",8.9,983,4,4,2022,389.150287534439,5924.4791168412,"Urban_and_Built_up_Lands"
"97","Cardamine pratensis",46.192927446,6.1670940058,"2022-04-04 16:47:38 +0300","inat",9.9,956,4,4,2022,416.856615834726,6040.99794190276,"Urban_and_Built_up_Lands"
"98","Cardamine pratensis",47.5510368347,7.6130208969,"2022-04-04 16:07:03 +0300","inat",9.9,781,4,4,2022,262.888559708933,4894.52245607556,"Urban_and_Built_up_Lands"
"99","Cardamine pratensis",46.9978424394,8.3933653374,"2022-03-31 16:07:00 -0500","inat",5.4,1458,31,3,2022,733.789212675489,7765.84103463083,"Permanent_Snow_and_Ice"
"100","Cardamine pratensis",46.9978424394,8.3933653374,"2022-03-31 16:07:00 -0500","inat",5.4,1458,31,3,2022,733.789212675489,7765.84103463083,"Permanent_Snow_and_Ice"
"101","Cardamine pratensis",47.44403,8.118233,"2022-03-23T15:42:34","gbif",8.9,1040,23,3,2022,541.477222553248,7739.63003013389,"Water_Bodies"
"102","Cardamine pratensis",47.351681,7.9017,"2022-03-19T17:41:57","gbif",8.5,1051,19,3,2022,403.932235131097,6064.81450556738,"Urban_and_Built_up_Lands"
"103","Cardamine pratensis",47.558151,7.629378,"2022-03-25T16:22:53","gbif",9.9,781,25,3,2022,259.535479614304,5324.82709950818,"Urban_and_Built_up_Lands"
"104","Cardamine pratensis",47.558167,7.629303,"2022-03-24T16:43:25","gbif",9.9,781,24,3,2022,259.493963126732,5326.97415293336,"Urban_and_Built_up_Lands"
"105","Cardamine pratensis",47.121612,6.916798,"2022-03-19T15:37:42","gbif",6.3,1265,19,3,2022,975.432630664131,7381.17354381125,"Urban_and_Built_up_Lands"
"106","Cardamine pratensis",47.030498,8.306962,"2022-03-27T11:23:00","gbif",8.6,1158,27,3,2022,469.474477238145,6972.45574771312,"Permanent_Snow_and_Ice"
"107","Cardamine pratensis",47.362851,8.792587,"2022-03-27T13:57:00","gbif",8.7,1114,27,3,2022,568.198256907995,6219.17512512415,"Permanent_Snow_and_Ice"
"108","Cardamine pratensis",46.997842,8.393365,"2022-03-31T16:07:00","gbif",5.4,1458,31,3,2022,733.792895266672,7765.89503866686,"Permanent_Snow_and_Ice"
"109","Cardamine pratensis",46.997842,8.393365,"2022-03-31T16:07:00","gbif",5.4,1458,31,3,2022,733.792895266672,7765.89503866686,"Permanent_Snow_and_Ice"
"110","Cardamine pratensis",47.442452,7.847346,"2022-03-27T11:16:22","gbif",8.5,1051,27,3,2022,528.59733259998,8237.99518055793,"Permanent_Snow_and_Ice"
"111","Cardamine pratensis",46.245208,6.194763,"2022-03-27T17:30:13","gbif",9.9,956,27,3,2022,389.538608523209,5743.18370461523,"Water_Bodies"
"112","Cardamine pratensis",47.054437,8.305503,"2022-03-26T14:47:42","gbif",8.6,1158,26,3,2022,459.563354994594,4912.55950217965,"Urban_and_Built_up_Lands"
"113","Cardamine pratensis",47.066431,8.30412,"2022-03-20T13:09:27","gbif",8.6,1158,20,3,2022,449.112260069557,6443.07663424614,"Permanent_Snow_and_Ice"
"114","Cardamine pratensis",47.314106,8.502587,"2022-03-31T00:00:00","gbif",8.6,1165,31,3,2022,653.701236573319,8055.32654559915,"Permanent_Snow_and_Ice"
"115","Cardamine pratensis",46.814429,7.490765,"2022-03-27T13:35:10","gbif",5.4,1286,27,3,2022,750.856611288242,7435.31602869378,"Water_Bodies"
"116","Cardamine pratensis",47.676273,8.614271,"2022-03-31T13:42:38","gbif",8,1055,31,3,2022,417.213211228778,6087.07299516809,"Urban_and_Built_up_Lands"
"117","Cardamine pratensis",47.420051,8.17849,"2022-03-26T16:33:39","gbif",9.1,1052,26,3,2022,434.50916030239,7715.35238394367,"Water_Bodies"
"118","Cardamine pratensis",47.553428,7.613107,"2022-03-28T15:35:56","gbif",9.9,781,28,3,2022,261.016699079704,4891.76344322744,"Urban_and_Built_up_Lands"
"119","Cardamine pratensis",47.098859,8.441045,"2022-03-29T11:38:03","gbif",8.8,1170,29,3,2022,475.119398793183,7223.36268239575,"Urban_and_Built_up_Lands"
"120","Cardamine pratensis",46.22134,6.276999,"2022-03-29T11:50:08","gbif",9.9,956,29,3,2022,NA,NA,NA
"121","Cardamine pratensis",47.358892,8.111611,"2022-03-28T15:07:24","gbif",8.9,1040,28,3,2022,467.039167841441,7357.86042088938,"Water_Bodies"
"122","Cardamine pratensis",47.12035,9.335634,"2022-03-26T09:53:18","gbif",6.3,1258,26,3,2022,596.603097245896,7864.16637824185,"Water_Bodies"
"123","Cardamine pratensis",46.232166,6.083953,"2022-03-28T12:49:29","gbif",9.8,987,28,3,2022,432.763086701435,5392.58822708153,"Urban_and_Built_up_Lands"
"124","Cardamine pratensis",47.419978,7.505677,"2022-03-30T13:02:45","gbif",8.3,998,30,3,2022,375.267904882499,6212.16162172802,"Permanent_Snow_and_Ice"
"125","Cardamine pratensis",47.35405,8.505378,"2022-03-27T15:56:38","gbif",8.9,1101,27,3,2022,535.347401130429,7129.004863013,"Urban_and_Built_up_Lands"
"126","Cardamine pratensis",46.144816,5.965494,"2022-03-29T11:50:53","gbif",9.4,1019,29,3,2022,NA,NA,NA
"127","Cardamine pratensis",46.208188,6.097608,"2022-03-31T13:09:49","gbif",9.8,987,31,3,2022,409.426637909272,6298.35061612833,"Urban_and_Built_up_Lands"
"128","Cardamine pratensis",47.559239,7.571714,"2022-03-28T10:20:20","gbif",9.9,781,28,3,2022,272.907950387319,4515.25962874327,"Urban_and_Built_up_Lands"
"129","Cardamine pratensis",47.497182,8.869133,"2022-03-28T08:25:12","gbif",8.1,1153,28,3,2022,543.682698582693,6762.41670497686,"Permanent_Snow_and_Ice"
"130","Cardamine pratensis",47.392248,8.009077,"2022-03-29T11:45:54","gbif",8.9,1040,29,3,2022,394.76288181436,7108.35275144212,"Water_Bodies"
"131","Cardamine pratensis",47.332851,8.525178,"2022-03-25T08:23:29","gbif",8.6,1165,25,3,2022,456.306516100365,6874.4635568757,"Urban_and_Built_up_Lands"
"132","Cardamine pratensis",46.581626,6.743801,"2022-03-29T15:58:17","gbif",7.8,1042,29,3,2022,816.571765255683,7371.83343250392,"Water_Bodies"
"133","Cardamine pratensis",47.261194,8.912395,"2022-03-29T14:28:44","gbif",8.5,1168,29,3,2022,653.536554230852,7989.97692356787,"Water_Bodies"
"134","Cardamine pratensis",46.530968,6.659674,"2022-03-29T08:39:01","gbif",8.9,983,29,3,2022,633.730307266413,5938.38020518409,"Permanent_Snow_and_Ice"
"135","Cardamine pratensis",47.340601,8.025236,"2022-03-29T13:31:49","gbif",8.9,1040,29,3,2022,442.368116566082,6936.30197883633,"Water_Bodies"
"136","Cardamine pratensis",46.512136,6.621828,"2022-03-30T17:15:34","gbif",8.9,983,30,3,2022,409.808200721251,4734.89204118953,"Urban_and_Built_up_Lands"
"137","Cardamine pratensis",47.471416,8.513643,"2022-03-30T14:07:52","gbif",8.9,1101,30,3,2022,431.728380957645,6571.28859972769,"Permanent_Snow_and_Ice"
"138","Cardamine pratensis",47.550855,7.592104,"2022-03-28T09:12:07","gbif",9.9,781,28,3,2022,275.698452313681,4138.76836477383,"Urban_and_Built_up_Lands"
"139","Cardamine pratensis",46.518842,6.547598,"2022-03-28T15:39:28","gbif",8.9,983,28,3,2022,396.023128430721,5942.58674619612,"Urban_and_Built_up_Lands"
"140","Cardamine pratensis",47.286061,8.53627,"2022-03-27T16:41:47","gbif",8.6,1165,27,3,2022,552.953343726403,6893.91807786237,"Urban_and_Built_up_Lands"
"141","Cardamine pratensis",47.504599,8.738482,"2022-03-28T06:17:22","gbif",9.1,1022,28,3,2022,483.761473206466,6263.98077294855,"Urban_and_Built_up_Lands"
"142","Cardamine pratensis",47.410763,7.077652,"2022-03-28T17:22:06","gbif",8.6,992,28,3,2022,454.430752340205,6537.16142582961,"Water_Bodies"
"143","Cardamine pratensis",47.528246,9.341796,"2022-03-29T06:47:56","gbif",9.3,1018,29,3,2022,456.945275214941,7385.51399223645,"Water_Bodies"
"144","Cardamine pratensis",47.223377,8.676237,"2022-03-29T11:25:56","gbif",8.9,1141,29,3,2022,467.297682637247,5297.75112171621,"Permanent_Snow_and_Ice"
"145","Cardamine pratensis",47.61087,9.293859,"2022-03-30T14:09:23","gbif",9.2,1004,30,3,2022,399.709527880112,6528.30964213647,"Permanent_Snow_and_Ice"
"146","Cardamine pratensis",46.712713,7.733031,"2022-03-30T16:44:53","gbif",6.2,1235,30,3,2022,898.79244993752,7493.88902690378,"Water_Bodies"
"147","Cardamine pratensis",46.319558,6.145665,"2022-03-29T14:41:29","gbif",9.8,987,29,3,2022,468.864668268991,7326.18154475873,"Water_Bodies"
"148","Cardamine pratensis",47.417851,8.240089,"2022-03-22T15:32:19","gbif",9.1,1052,22,3,2022,434.766047624481,6592.07565599885,"Water_Bodies"
"149","Cardamine pratensis",47.542637,7.93921,"2022-03-27T13:39:05","gbif",8.8,1005,27,3,2022,352.4696788373,6311.74101977786,"Permanent_Snow_and_Ice"
"150","Cardamine pratensis",47.480371,8.24437,"2022-03-27T13:03:55","gbif",9.1,1052,27,3,2022,402.514689260779,6946.4631287348,"Urban_and_Built_up_Lands"
"151","Cardamine pratensis",47.481271,8.567545,"2022-03-29T08:56:06","gbif",8.9,1101,29,3,2022,512.011412595278,7048.97108165959,"Water_Bodies"
"152","Cardamine pratensis",47.35405,8.505378,"2022-03-27T22:11:08","gbif",8.9,1101,27,3,2022,535.347401130429,7129.004863013,"Urban_and_Built_up_Lands"
"153","Cardamine pratensis",46.523809,6.565109,"2022-03-29T13:36:54","gbif",8.9,983,29,3,2022,398.256347865198,5498.73429381585,"Urban_and_Built_up_Lands"
"154","Cardamine pratensis",46.751802,7.624598,"2022-03-26T11:13:23","gbif",7.6,1036,26,3,2022,563.965869282097,4614.92156042828,"Urban_and_Built_up_Lands"
"155","Cardamine pratensis",47.476472,7.548738,"2022-03-28T07:32:41","gbif",8.3,998,28,3,2022,423.29139970074,7220.61940865118,"Permanent_Snow_and_Ice"
"156","Cardamine pratensis",47.475814,9.530772,"2022-03-29T06:57:19","gbif",8.5,1141,29,3,2022,493.028419720007,6812.96161791694,"Water_Bodies"
"157","Cardamine pratensis",46.693996,7.65821,"2022-03-29T15:57:28","gbif",7.6,1036,29,3,2022,629.799085474107,6315.33685271191,"Water_Bodies"
"158","Cardamine pratensis",47.537498,8.850342,"2022-03-28T11:27:07","gbif",9.1,1020,28,3,2022,489.824126544042,7464.43442752059,"Water_Bodies"
